Year,Life_expectancy ,infant_deaths,Alcohol,percentage_expenditure,Hepatitis B,Measles ,under_five_deaths ,Polio,Total_expenditure,Diphtheria ,Income_composition_of_resources,Schooling
2015,59,26,,0,54,243,40,42,,54,0.414,8.8
2014,58.1,27,0.01,50.57976483,51,175,41,42,5.64,51,0.412,8.6
2013,58.8,27,0.01,5.140668848,63,53,41,63,5.49,63,0.406,8.5
2012,58.4,28,0.01,4.344930862,62,6,42,63,5.39,62,0.396,8.5
2011,58.1,28,0.22,42.2547904,63,11,43,63,4.73,63,0.385,8.4
2010,57.8,29,0.2,29.74734049,64,45,44,62,4.55,64,0.38,8.3
2009,57.3,29,0.18,24.84763562,57,264,46,6,3.85,57,0.376,8.1
2008,56.8,30,0.21,19.68510257,57,89,47,59,3.21,6,0.371,7.9
2007,56.4,31,0.19,1.399626733,57,3,48,46,3.8,63,0.364,7.6
2006,55.6,31,0.16,10.3839337,,4,49,53,3.2,57,0.356,7.1
2005,54.7,32,0.21,1.099665984,,99,51,59,2.82,59,0.346,6.6
2004,54,33,0.34,18.93011259,,10,53,65,3.14,6,0.325,5.1
2003,53.3,34,0.18,2.39524067,,2497,55,61,3.45,57,0.338,5.9
2002,52.9,35,0.21,21.3378184,,2151,56,56,3.76,53,0.329,5.5
2001,52.5,36,0.17,19.89790929,,7408,58,52,3.65,5,0.322,5.1
2000,52.5,37,0.17,2.215986136,,11294,60,47,3.46,46,0.316,4.8
2015,58.9,4,,0,87,153,6,87,,87,0.421,9.2
2014,58.4,4,0.01,50.06053544,87,1,6,87,5.59,87,0.419,9.2
2013,58.1,4,0.01,8.20063742,87,0,6,87,6.14,87,0.415,9.1
2012,57.6,4,0.01,0.948526366,87,0,6,87,5.96,87,0.416,9.1
2011,57.1,4,3.57,40.45367358,86,0,7,85,5.46,86,0.41,9
2010,56.7,4,3.21,53.30782696,83,26,7,82,6.7,83,0.405,8.9
2009,56.3,4,2.55,47.12969266,8,0,7,78,6.81,8,0.401,8.9
2008,55.6,5,2.64,28.30191127,,12,7,77,6.5,77,0.398,8.8
2007,55,5,2.98,31.06932595,,1,7,76,6.1,74,0.394,8.8
2006,54.4,5,3.22,21.53374936,,0,8,74,5.87,71,0.388,8.3
2005,53.9,5,3.1,22.09757984,,0,8,73,5.72,68,0,8
2004,53.5,5,2.58,13.52999556,,3526,8,69,5.41,64,0,7.7
2003,53,5,2.16,2.527115422,,1158,8,65,5.62,6,0,7.4
2002,52.8,5,2.47,24.65761755,,298,8,61,5.84,57,0,7.1
2001,52.5,5,2.55,0.868708478,,126,9,56,5.4,53,0,6.7
2000,52.1,5,2.84,6.699418747,,0,9,52,4.94,49,0,6.4
2015,66.2,0,,0,95,0,1,92,,95,0.638,10.3
2014,66,0,7.64,4.141293345,98,0,1,97,5.25,98,0.636,10.3
2013,65.9,0,7.56,345.9044258,98,0,1,98,5.1,98,0.633,10.3
2012,65.8,0,7.57,497.4719464,97,0,1,97,6.57,97,0.63,10.6
2011,65.6,0,7.56,536.2332523,93,0,1,93,6.8,93,0.624,10.3
2010,65.9,0,7.52,48.02859441,95,0,1,95,6.6,95,0.618,10.2
2009,66.1,0,7.49,466.6693698,98,0,1,97,7.32,98,0.618,10.5
2008,66.3,1,7.32,493.3279293,93,0,1,93,7.46,93,0.618,10.7
2007,65.7,1,7.2,362.8702271,94,0,1,94,6.45,94,0.62,11.2
2006,65.2,1,7.04,170.6325842,93,0,1,92,4.67,93,0.622,11.7
2005,65,1,7.35,17.46405901,93,0,1,93,5.83,93,0.619,11.4
2004,65.1,1,7.84,1.776181042,91,0,1,91,5.73,91,0.613,11.2
2003,65.3,1,7.93,16.47949015,9,0,1,91,5.97,9,0.611,11.1
2002,65.3,1,7.73,10.9363388,91,0,1,93,5.84,91,0.609,11
2001,65.4,1,6.71,15.54978677,85,0,1,9,5.82,85,0.606,10.9
2000,65.4,1,6.63,16.75480888,,0,1,79,5.85,88,0.602,10.9
2015,63.5,14,,0,6,0,18,56,,6,0.49,9.1
2014,63.1,14,0.01,5.103249438,48,0,19,55,7.56,48,0.487,9.1
2013,62.7,14,5.68,4.989712322,68,0,19,67,8.1,68,0.483,9.1
2012,62.3,15,5.68,26.37942542,,0,20,67,9.88,67,0.477,8.9
2011,62.3,15,5.68,4.106484317,,0,20,67,1.41,68,0.47,8.7
2010,36.3,23,5.76,36.2929176,,0,58,66,8.9,66,0.47,8.6
2009,62.5,16,5.85,41.30079452,,0,21,65,6.68,65,0.466,8.5
2008,62.1,16,5.95,63.83195683,,0,22,64,5.92,63,0.462,8.4
2007,61.8,17,6.08,56.77858733,,0,23,62,5.56,63,0.458,8.4
2006,61.1,17,6.18,6.995556386,,0,23,61,5.7,6,0.455,8.3
2005,65,17,5.57,38.10904264,,0,24,6,4.41,6,0.452,8.2
2004,58.7,18,6.1,64.39853344,,0,24,58,5.61,55,0.45,8.1
2003,59.7,18,6.64,44.25687135,,0,25,56,5.32,53,0.447,8.1
2002,59.3,19,6.1,50.28558223,,0,26,54,5.47,48,0.444,8
2001,58.9,19,6.22,60.77815868,,159,27,52,5.63,45,0.443,7.9
2000,58.6,20,4.79,74.46033036,,992,28,5,6.6,41,0.439,7.8
2015,74.6,3,,0,97,0,4,97,,97,0.623,11.2
2014,74.5,3,2.87,345.3776344,97,0,4,97,8.72,97,0.618,11.4
2013,74.3,4,3.11,311.7553193,97,0,4,97,9.15,97,0.614,11.6
2012,74.1,4,3.11,363.5721644,97,0,4,97,9.78,97,0.614,11.6
2011,73.9,4,3.1,32.16407994,97,0,5,97,8.57,97,0.611,11.7
2010,73.6,4,3.1,302.1057507,97,0,5,97,8.45,97,0.606,11.5
2009,73.4,4,3.08,286.1211446,97,0,5,97,8.84,97,0.603,11.3
2008,73.2,4,3.14,231.9112915,92,0,5,93,8.4,93,0.597,11.1
2007,73,5,3.16,222.4823338,93,0,6,94,7.89,94,0.59,10.9
2006,72.8,5,3.23,192.9297829,94,0,6,94,7.63,95,0.583,10.8
2005,72.5,5,3.23,203.7134882,97,0,6,98,7.81,98,0.577,10.6
2004,72.2,5,3.02,188.2499208,93,0,7,94,7.89,94,0.571,10.4
2003,71.9,6,3.04,194.4335736,91,0,7,92,8.29,92,0.566,10.3
2002,71.6,6,3.09,154.8636161,94,0,7,95,7.28,95,0.561,10.1
2001,71.3,6,2.74,15.36175284,95,0,8,99,6.88,96,0.557,9.9
2000,71,6,2.61,28.80831098,93,0,8,88,6.63,94,0.551,9.8
2015,75.8,0,,0,,0,0,99,,99,0.834,15.6
2014,75.6,0,0.01,160.9449342,,0,0,99,7.4,99,0.834,15.8
2013,75.5,0,10.88,155.1952076,,1,1,99,7.53,99,0.824,15.4
2012,75,0,11.27,164.2793407,,2,1,99,7.74,99,0.823,15.4
2011,74.8,0,11.51,17.82121883,,5,1,99,7.84,99,0.821,15.4
2010,74.5,0,10.78,19.22023996,,0,1,99,7.85,99,0.817,15.3
2009,74.2,0,11.46,1281.155944,,1,1,99,7.55,99,0.816,15.3
2008,74.1,1,11.64,181.7634078,,0,1,99,7.33,99,0.812,15.3
2007,73.5,1,12.55,163.3433278,,0,1,99,7.51,99,0.809,15.3
2006,73.4,1,13.16,1299.459306,,1,1,99,8.1,99,0.802,15.2
2005,72.9,1,12.94,1317.08348,,2,1,99,8.28,99,0.795,15
2004,72.9,1,13.28,146.8608016,,0,1,99,8.8,99,0.793,15.3
2003,72.5,1,13.24,1030.220271,,0,1,99,8.42,99,0.784,14.9
2002,72.5,1,13.29,8.98619805,,0,1,98,7.47,99,0.775,14.6
2001,72.3,1,13.18,7.601092416,,20,1,99,7.11,99,0.769,14.2
2000,71.7,1,12.22,75.36251406,,1,1,99,7.6,99,0.761,13.9
2015,82.7,0,,0,,0,0,92,,92,0.919,19
2014,82.5,0,7.45,8254.020763,,0,0,9,8.86,9,0.915,19
2013,82.4,0,7.31,764.5440691,,0,0,91,8.75,91,0.907,19
2012,82.5,0,7.81,6818.546407,,0,0,89,8.68,89,0.901,18.7
2011,82.1,0,8.13,7.0480925,,0,0,95,8.65,95,0.894,18.6
2010,81.8,0,8.25,6005.575763,,0,0,96,8.86,96,0.894,18.4
2009,81.6,0,10.22,687.5776358,,0,0,96,9.12,96,0.894,18.4
2008,81.4,0,8.49,7613.814999,,0,0,98,8.8,98,0.892,18.2
2007,81.3,0,7.53,12042.97366,,0,0,97,8.75,97,0.887,18.2
2006,81.1,0,7.2,1003.139804,,0,0,97,8.96,97,0.884,18.1
2005,81,0,7.05,10631.20379,,0,0,95,9.21,95,0.879,17.9
2004,88,0,6.79,8506.101443,,0,0,99,9.59,99,0.873,18.3
2003,87,0,6.61,725.4853161,,0,0,97,1.7,97,0.866,17.6
2002,84,0,6.61,5948.096777,,0,0,95,9.86,95,0.859,17.2
2001,80,0,6.37,5048.274426,,0,0,92,9.12,92,0.854,17.1
2000,79.7,0,6.17,5809.12199,,0,0,98,9.28,98,0.847,16.8
2015,68.3,910,,0,87,90387,1100,86,,87,0.615,11.6
2014,68,957,3.07,86.52153895,79,79563,1200,84,4.69,85,0.607,11.6
2013,67.6,1000,3.11,67.67230438,7,13822,1300,82,4.53,83,0.599,11.5
2012,67.3,1100,3.1,64.96964491,73,18668,1400,79,4.39,82,0.59,11.3
2011,66.8,1100,3,64.6059005,44,33634,1500,79,4.33,82,0.58,10.8
2010,66.4,1200,2.77,57.73359864,38,31458,1600,76,4.28,79,0.569,10.4
2009,66,1300,2.5,0.844186331,37,56188,1700,73,4.38,74,0.563,10.5
2008,65.5,1300,1.93,43.03043312,29,44258,1800,69,4.34,7,0.556,10.2
2007,65.2,1400,1.59,5.234770324,6,41144,1900,67,4.23,64,0.546,9.9
2006,64.8,1500,1.37,34.85942671,6,64185,2000,66,4.25,65,0.536,9.7
2005,64.4,1500,1.27,3.5096369,8,36711,2000,65,4.28,65,0.526,9.4
2004,64,1600,1.2,27.33800857,6,55443,2100,58,4.22,63,0.518,9.2
2003,63.7,1700,1.19,19.4808682,,47147,2200,57,4.3,61,0.505,8.6
2002,63.3,1700,1.1,17.81205644,,40044,2300,58,4.4,59,0.499,8.4
2001,62.9,1800,1,19.00340606,,51780,2400,58,4.5,59,0.494,8.3
2000,62.5,1800,0.93,19.26615743,,38835,2500,57,4.26,58,0.489,8.3
2015,69.1,114,,0,78,15099,136,8,,78,0.686,12.9
2014,68.9,119,0.09,200.0684443,78,12943,142,8,2.85,78,0.682,12.9
2013,68.7,124,0.09,22.8478308,85,8419,148,86,2.93,85,0.677,12.9
2012,68.5,129,0.08,254.4688257,83,15489,154,84,2.9,83,0.669,12.6
2011,68.3,134,0.08,211.8783404,81,21893,161,81,2.71,81,0.662,12.3
2010,68.1,138,0.08,190.5453646,83,18869,167,82,2.74,81,0.656,12.1
2009,67.9,143,0.08,125.7980678,82,20818,174,85,2.83,78,0.645,11.7
2008,67.7,149,0.07,10.26341108,82,15369,181,83,2.81,77,0.641,11.7
2007,67.5,154,0.06,102.633435,76,19456,188,77,3.1,73,0.638,11
2006,67.3,159,0.06,72.0159316,66,20422,194,78,2.91,72,0.632,10.9
2005,67.2,163,0.06,5.381782562,65,15853,201,79,2.79,72,0.629,11.1
2004,65.3,174,0.06,55.36107207,64,29171,237,79,2.37,71,0.624,11
2003,66.9,173,0.05,8.460155758,64,24457,215,8,2.53,71,0.613,10.8
2002,66.7,177,0.05,43.17867291,63,14492,222,8,2.27,7,0.608,10.6
2001,66.5,182,0.06,33.95837125,62,3825,229,77,2.23,76,0.604,10.6
2000,66.3,187,0.06,3.43334364,65,3344,237,72,1.98,75,0.597,10.7
2015,75.5,18,,0,98,615,21,98,,98,0.774,14.8
2014,75.4,19,0.01,0,99,99,22,99,6.89,99,0.77,14.9
2013,75.3,20,0.01,0,99,189,23,98,6.49,98,0.769,15
2012,75.1,21,0.01,0,98,332,24,99,6.98,99,0.755,13.6
2011,74.7,22,0.03,0,99,73,25,99,7.12,99,0.745,13.1
2010,74.1,22,0.03,0,99,538,26,99,8.2,99,0.735,12.9
2009,73.3,23,0.03,0,99,262,27,99,7.63,99,0.728,12.8
2008,72.7,24,0.02,0,99,127,28,99,6.28,99,0.716,12.1
2007,72.4,25,0.02,0,97,133,29,98,5.84,99,0.704,11.8
2006,72.2,26,0.02,0,98,220,30,99,5.95,98,0.692,11.4
2005,72,27,0.01,0,94,7,32,95,6.6,95,0.687,11.4
2004,71.8,28,0.01,0,95,3,33,98,5.89,99,0.686,11.8
2003,75,29,0.01,0,98,11644,35,99,5.42,99,0.679,11.8
2002,71.2,31,0.01,0,99,9554,37,99,5.39,99,0.674,11.9
2001,78,33,0.01,0,94,9582,40,95,5.2,96,0.666,11.6
2000,73,35,0.01,0,99,11874,43,99,4.47,99,0.66,11.6
2015,68.9,32,,0,56,1433,38,63,,58,0.649,10.1
2014,67.9,32,0.01,43.5240801,62,1317,39,67,5.54,64,0.658,10.1
2013,69.5,32,0.01,447.3695001,66,669,39,7,5.92,68,0.659,10.3
2012,76,32,0.01,429.6625083,61,15,39,7,5.26,69,0.656,10.5
2011,77,32,0.17,285.119726,77,15,39,8,3.32,79,0.649,10.4
2010,76,32,0.19,21.82252494,72,492,39,74,3.82,74,0.646,10.4
2009,74,32,0.2,185.6366983,75,30328,39,78,4.65,78,0.643,10.3
2008,69.3,32,0.17,192.1562998,66,5494,38,71,3.93,69,0.638,10.3
2007,65.9,31,0.14,146.7606488,56,230,38,74,3.69,57,0.636,10.2
2006,64.7,31,0.03,75.25799773,59,474,38,63,3,59,0.631,10.2
2005,66.8,31,0.18,59.18845152,65,908,37,69,4.13,65,0.628,10.1
2004,67.2,30,0.32,44.12059646,62,9081,37,69,5.61,74,0.603,9.8
2003,66.5,30,0.07,0,63,0,37,73,4.36,75,0.616,9.4
2002,74,30,0.15,0,65,0,37,76,,77,0.614,9.1
2001,72,30,0.17,0,66,4088,37,8,,78,0.607,8.7
2000,70,30,0.2,0,67,726,37,83,,8,0.603,8.6
2015,81.4,0,,0,95,4,0,95,,95,0.92,18.6
2014,81.2,0,10.75,746.3670453,95,33,0,96,7.78,96,0.91,18.6
2013,81,0,10.49,703.5527332,95,51,0,96,8.1,96,0.902,18.6
2012,85,0,11.49,6616.695125,95,107,0,95,8.32,95,0.895,18.5
2011,84,0,11.72,6386.95437,95,285,0,95,8.15,95,0.909,18.5
2010,86,0,11.88,4509.234803,46,443,0,94,8.76,94,0.907,18.2
2009,79.7,0,11.41,7620.823456,,164,0,94,9.53,94,0.909,17.9
2008,79.8,0,12.66,9528.230574,,57,0,93,8.64,93,0.908,17.9
2007,79.5,0,13.59,9797.552661,,64,0,92,7.57,92,0.902,17.6
2006,79,0,13.44,9126.931178,,87,0,91,7.22,91,0.896,17.6
2005,78.7,0,13.31,973.681333,,95,0,9,7.27,9,0.889,17.5
2004,78.3,0,13.32,8040.220444,,334,0,89,7.34,89,0.88,17.1
2003,78,0,13.24,675.2134725,,584,0,86,7.5,86,0.87,16.8
2002,77.4,0,14.17,5092.383814,,243,0,83,6.85,83,0.862,16.5
2001,77,0,14.27,4264.579203,,241,0,84,6.6,84,0.857,16.4
2000,76.4,0,14.07,3794.581463,,0,0,86,6.3,86,0.848,16.2
2015,82.5,0,,0,96,80,1,95,,95,0.898,16
2014,82.2,1,2.62,4348.33531,97,6,1,95,7.81,95,0.895,16
2013,82.1,1,2.69,4279.895512,97,50,1,96,7.89,96,0.891,15.9
2012,81.8,1,2.78,3830.184587,97,211,1,94,7.73,94,0.889,15.9
2011,81.8,1,2.67,3793.161624,98,70,1,94,7.39,94,0.883,15.8
2010,81.7,1,2.63,409.4109292,97,23,1,95,7.36,95,0.878,15.7
2009,81.5,1,2.55,508.6645438,98,5,1,96,7.46,96,0.876,15.6
2008,81,1,2.47,471.5533294,99,931,1,94,7.33,94,0.877,15.8
2007,84,1,2.33,4.3451016,99,539,1,95,7.37,95,0.872,15.7
2006,84,1,2.23,33.58620657,96,9,1,94,7.38,95,0.87,15.7
2005,80,1,2.41,250.9343317,96,2,1,95,7.44,93,0.866,15.8
2004,81,1,2.23,1895.342792,99,116,1,95,7.35,95,0.863,15.9
2003,79.7,1,2.32,1731.755747,98,124,1,93,7.44,93,0.863,16
2002,79.3,1,2.47,1701.195787,98,2,1,91,7.49,9,0.855,15.3
2001,79.3,1,2.53,22.27332618,96,19,1,93,7.61,92,0.85,15.1
2000,78.9,1,2.53,199.9341033,98,36,1,93,7.13,93,0.845,15.2
2015,82.7,1,,0,93,159,2,93,,93,0.881,16.3
2014,82.5,2,7.56,4831.644796,95,0,2,95,9.25,95,0.877,16.3
2013,82.3,2,7.35,483.1916844,96,0,2,96,9.22,96,0.876,16.5
2012,82,2,7.49,4793.904924,96,376,2,96,9.28,97,0.877,16.6
2011,82,2,6.98,5439.691769,96,5189,2,96,9.27,96,0.872,16.4
2010,81.8,2,6.95,5219.668802,96,372,2,96,9.42,96,0.869,16.4
2009,81.6,2,7.25,5243.316638,96,351,2,96,9.41,96,0.868,16.3
2008,81.5,2,7.96,66.37840495,96,1617,2,96,8.89,96,0.866,16.3
2007,81.3,2,8.37,5228.821581,97,321,2,97,8.48,97,0.862,16.1
2006,81.2,2,8.44,473.1915451,96,439,2,97,8.82,96,0.856,16
2005,88,2,8.65,4506.255963,96,135,2,97,8.71,95,0.851,15.8
2004,89,2,8.98,4270.914882,96,599,3,97,8.49,94,0.846,15.6
2003,79.9,2,9.3,3519.258515,95,10982,3,97,8.17,96,0.841,15.4
2002,80,2,9.25,2883.334911,95,9385,3,96,8.23,93,0.836,15.2
2001,79.8,2,9.69,3.1222302,95,0,3,96,8.11,93,0.828,14.9
2000,79.4,3,9.78,31.50582204,94,1457,3,97,7.91,87,0.823,14.8
2015,76.2,1,,0,91,0,1,91,,91,0.729,12.8
2014,75.8,1,3.83,427.3054534,92,0,1,93,5.36,92,0.727,12.8
2013,75.6,1,3.79,5.457289334,93,0,1,86,5.91,93,0.727,12.8
2012,75.3,1,3.65,37.17108782,96,0,1,96,5.66,96,0.725,12.8
2011,75.2,1,3.58,33.17529686,92,1,1,93,5.21,92,0.722,12.8
2010,75,1,3.55,396.6270975,94,0,1,94,5.3,94,0.721,12.7
2009,74.7,1,3.33,235.7067417,9,0,1,9,5.16,9,0.721,12.7
2008,74.5,1,3.51,31.76575838,92,2,1,91,5.4,91,0.718,12.6
2007,74.2,1,3.64,25.62349238,92,0,1,94,4.87,92,0.714,12.5
2006,74,1,3.63,194.092569,97,0,1,99,4.22,95,0.709,12.5
2005,73.5,1,3.59,16.97511622,99,0,1,99,4.7,99,0.706,12.4
2004,73.3,1,3.67,192.3226305,98,0,1,97,4.8,98,0.689,11.1
2003,73.1,1,3.48,155.5884677,36,0,1,99,4.56,96,0.694,11.9
2002,73,1,3.76,211.1143318,,0,1,99,4.86,99,0.69,11.7
2001,72.7,1,3.89,160.2382416,,0,1,99,5.34,99,0.68,10.9
2000,72.6,1,3.46,24.82762854,,0,1,95,5.81,93,0.682,11.4
2015,83.7,2,,0,,35,3,99,,96,0.902,15.3
2014,83.5,2,0.01,88.83362243,,462,3,99,1.23,96,0.899,15.3
2013,83.5,2,7.55,94.43428615,,229,3,99,1.25,96,0.894,15.3
2012,83.3,2,7.39,121.5869163,,228,3,99,1.17,97,0.889,15.3
2011,82.5,3,7.39,9498.729062,,434,4,96,1.7,97,0.884,15.1
2010,83,3,6.9,863.0061491,,450,4,98,9.58,97,0.879,15.1
2009,83,3,7.09,899.1785285,,741,4,99,9.51,97,0.881,15
2008,82.7,3,7.11,7313.175418,,11015,4,98,8.6,98,0.88,15
2007,82.6,3,7.29,6599.995239,,0,4,97,8.25,98,0.877,15
2006,82.4,3,7.49,6502.136974,,520,4,95,8.19,98,0.873,14.9
2005,82,3,7.99,6799.664423,,0,4,95,8.18,98,0.87,14.9
2004,82.1,3,7.7,6746.281299,,8752,4,97,8.3,99,0.866,14.8
2003,81.9,3,7.83,578.7254273,,8286,5,97,8,97,0.863,14.8
2002,81.8,3,7.87,5250.249188,,33812,5,89,7.85,96,0.86,14.7
2001,81.5,4,8.03,5486.51208,,22552,5,81,7.75,95,0.856,14.6
2000,81.1,4,7.97,5926.296654,,22497,5,98,7.53,85,0.852,14.5
2015,74.1,4,,0,99,0,4,99,,99,0.741,13.1
2014,74,4,0.41,63.8784522,98,20,4,98,7.45,98,0.737,13.1
2013,73.9,4,0.4,546.6235156,98,120,4,98,7.23,98,0.737,13.1
2012,73.7,4,0.41,67.70171064,98,3,4,98,8,98,0.735,12.9
2011,73.6,4,0.43,68.86623298,98,0,4,98,8.39,98,0.737,13.1
2010,73.4,4,0.51,715.9709092,98,0,4,98,8.42,98,0.739,13.2
2009,73.3,4,0.59,668.7447334,98,0,4,98,9.54,98,0.742,13.6
2008,73.1,4,0.61,535.2786404,97,2,4,98,8.78,97,0.739,13.6
2007,73,4,0.6,373.2628643,98,41,4,98,8.35,98,0.736,13.6
2006,72.8,4,0.59,313.3626015,98,1,4,98,8.8,98,0.733,13.7
2005,72.4,4,0.55,27.44252286,95,28,4,95,8.88,95,0.73,13.8
2004,72.5,4,0.54,32.52523612,95,21,4,95,9.5,95,0.723,13.5
2003,72.3,4,0.54,228.7838108,97,76,4,97,9.15,97,0.717,13.2
2002,72.1,4,0.54,259.1572375,95,19,4,95,9.68,95,0.712,13
2001,71.9,4,0.55,248.697463,97,61,4,97,9.9,99,0.706,12.7
2000,71.7,4,0.49,227.296617,93,32,4,94,9.65,91,0.7,12.6
2015,72,4,,0,98,526,5,98,,98,0.793,15
2014,69.9,5,6.29,24.44473709,95,321,5,95,4.36,95,0.789,15
2013,69.5,5,6.48,26.4072659,99,73,6,98,4.3,98,0.782,15
2012,69.1,6,6.82,235.3566066,95,55,7,98,4.32,99,0.774,14.7
2011,68.5,7,6.63,179.170133,99,127,7,99,4.6,99,0.766,14.4
2010,67.8,7,6.83,11.1516268,99,4,8,98,4.42,99,0.763,14.5
2009,67.8,7,6.64,808.243302,99,0,8,99,4.13,98,0.758,14.6
2008,66.6,8,7.6,708.3285785,99,20,9,99,3.65,99,0.758,14.6
2007,65.3,8,7.44,499.730412,94,13,9,94,3.19,93,0.754,14.7
2006,65,8,7.08,76.19868936,99,109,9,99,3.73,99,0.747,14.3
2005,64.6,8,6.94,351.8603267,94,16118,9,99,4.7,98,0.737,13.9
2004,64.7,8,6.55,33.91660183,99,2204,9,99,3.95,82,0.725,13.5
2003,64.4,8,6.58,23.43400762,99,24,9,99,3.7,99,0.714,13.1
2002,64.7,8,5.99,145.1022528,95,18,9,95,3.61,95,0.7,12.7
2001,64.4,8,5.75,12.60883976,95,94,10,95,3.47,95,0.685,12.3
2000,63.9,9,6,112.541157,99,245,10,96,4.16,97,0.676,12.1
2015,63.4,54,,0,89,95,75,83,,89,0.55,11.1
2014,62.9,56,0.01,170.9626624,92,354,79,93,5.72,92,0.546,11.1
2013,62.6,58,1.84,165.9304977,93,190,81,94,5.57,87,0.541,11.1
2012,62.1,59,1.81,154.2269697,94,0,84,94,5.49,94,0.536,11.1
2011,61.2,60,1.8,109.7051836,96,2395,86,97,5.23,96,0.53,11.1
2010,63,61,1.73,56.58984221,9,95,89,9,3.97,9,0.523,11.1
2009,59.1,62,1.86,7.146851404,88,1218,91,89,4.17,88,0.514,10.7
2008,57.9,64,1.71,60.5153506,88,1282,95,88,3.9,88,0.506,10.4
2007,56.8,66,1.97,59.83361364,81,1516,100,76,4.8,81,0.494,10.1
2006,55.3,68,1.76,52.60385429,8,1847,104,77,4.24,8,0.483,9.7
2005,54.1,70,1.82,39.55677502,76,153,108,7,4.36,76,0.474,9.6
2004,53,72,1.43,36.29775249,73,20,112,73,4.29,73,0.461,8.9
2003,52.4,74,1.49,35.85204668,73,65,115,75,4.45,73,0.45,8.2
2002,52.1,76,1.66,32.73674134,84,766,118,83,4.54,84,0.451,8.5
2001,51.9,77,1.63,3.847602867,,11304,120,77,4.62,8,0.447,8.4
2000,51.9,77,1.51,0.681685555,,21002,121,8,4.68,82,0.448,8.4
2015,66.3,0,,0,82,0,0,8,,78,0.586,11.9
2014,66.1,0,0.01,97.87193319,75,0,0,79,1.21,75,0.597,11.9
2013,65.8,0,0.01,137.2591943,95,0,0,91,1.15,95,0.589,11.9
2012,65.7,0,0.01,147.4549755,94,0,0,92,1.37,94,0.581,11.9
2011,65.5,0,0.53,30.46703899,95,0,0,95,1.42,99,0.585,11.9
2010,65.3,0,0.48,18.21661422,91,0,0,95,1.52,91,0.584,11.9
2009,65.2,0,0.54,162.2903711,86,0,0,84,12.24,86,0.576,11.9
2008,65.1,0,0.46,167.6201552,83,0,0,74,12.23,82,0.572,11.6
2007,65,0,0.68,188.7108773,96,0,0,93,13.66,94,0.574,11.8
2006,65,0,0.76,18.19457876,88,0,0,86,1.93,86,0.576,12.1
2005,64.9,0,0.6,111.7392134,5,0,0,74,1.6,79,0,12.2
2004,64.8,0,0.48,10.6242741,67,0,0,61,1.39,62,0,12.4
2003,64.7,0,0.5,1.76541345,73,0,0,79,9.98,7,0,11.6
2002,64.6,0,0.49,70.75572222,79,0,0,96,9.1,77,0,11.7
2001,64.3,0,0.6,59.97185848,85,0,0,88,9,85,0,10.4
2000,64.1,0,0.46,11.07543331,9,0,0,9,8.12,9,0,10
2015,74.7,0,,0,99,18,1,99,,99,0.799,13.3
2014,74.6,0,0.01,2480.896965,96,55,1,94,3.4,95,0.787,13
2013,74.5,1,0.01,2792.677582,99,62,1,99,2.56,99,0.796,13.1
2012,74.3,1,0.01,2957.973963,98,27,1,98,2.57,98,0.794,13.2
2011,74.2,1,0.02,2785.097712,99,32,1,99,2.62,99,0.792,13.4
2010,74,1,0.01,2009.575605,99,13,1,98,2.76,98,0.79,13.5
2009,73.9,1,0.1,3001.628237,99,0,1,99,3.87,99,0.788,13.6
2008,73.8,1,0.03,2078.392748,99,0,1,99,1.93,99,0.787,13.8
2007,73.7,1,0.03,2555.303869,99,0,1,99,2.13,99,0.787,13.9
2006,73.6,1,0.01,2443.444275,99,0,1,99,2.25,99,0.787,14.1
2005,73.6,0,0.01,239.5751391,99,10,1,99,2.38,99,0.789,14.2
2004,73.5,0,0.02,1731.073528,94,23,1,98,2.76,98,0.791,14.4
2003,73.4,0,0.03,159.0098727,99,0,1,99,3.23,99,0.788,14.1
2002,73.3,0,0.01,1209.680547,99,0,1,99,3.56,99,0.785,13.9
2001,73.2,0,0.01,113.1997845,99,0,1,99,3.61,99,0.786,14
2000,73.2,0,0.01,959.925862,95,6,1,94,2.51,98,0.786,14.1
2015,71.1,3,,0,97,17779,3,97,,97,0.662,13
2014,78,3,0.01,0,96,318,4,95,6.48,96,0.656,12.8
2013,77,3,0.01,0,97,1,4,97,6.68,97,0.647,12.5
2012,69.9,3,0.01,0,96,0,4,94,6.97,96,0.638,12.3
2011,69.4,4,3.28,0,96,222,4,94,6.18,96,0.632,12.1
2010,68.8,4,2.73,0,96,0,4,88,6.66,96,0.631,12.2
2009,68.5,4,2.39,0,96,1,4,96,6.79,95,0.629,12.4
2008,67.6,4,2.53,0,97,16,4,95,6.7,95,0.624,12.6
2007,67.2,4,2.77,0,94,40,4,94,6.87,94,0.618,12.6
2006,66.7,4,2.48,0,9,27,4,93,6.73,92,0.613,12.5
2005,66.9,4,2.81,0,97,53,4,98,5.82,98,0.612,12.4
2004,67.1,4,3.41,0,99,8,4,98,5.57,99,0.609,12.5
2003,66.6,4,3.52,0,99,6,4,98,5.43,98,0.602,12.2
2002,66.7,4,3.31,0,99,2,5,99,5.43,98,0.601,12.1
2001,67.2,4,2.62,0,57,17,5,99,4.79,99,0.593,11.8
2000,66.6,4,2.13,0,44,16,5,99,4.68,99,0.586,11.4
2015,65.7,8,,0,89,56,11,89,,89,0.582,10.8
